"BP_LOC_ID","LATITUDE","LONGITUDE","COUNT_ID","MUNICIPALITY","FACILITY_NAME","CNT_LOC_DESCRIPTION","STREET_1","STREET_2","STREET_3","STREET_4","STREET_5","STREET_6","CNT_DESCRIPTION","TEMPERATURE","SKY","FACILITY_TYPE","COUNT_TYPE","FROM_ST_NAME","FROM_ST_DIR","TO_ST_NAME","TO_ST_DIR","COUNT_DATE","COUNT_DOW","CNT_0630","CNT_0645","CNT_0700","CNT_0715","CNT_0730","CNT_0745","CNT_0800","CNT_0815","CNT_0830","CNT_0845","CNT_0900","CNT_0915","CNT_0930","CNT_0945","CNT_1000","CNT_1015","CNT_1030","CNT_1045","CNT_1100","CNT_1115","CNT_1130","CNT_1145","CNT_1200","CNT_1215","CNT_1230","CNT_1245","CNT_1300","CNT_1315","CNT_1330","CNT_1345","CNT_1400","CNT_1415","CNT_1430","CNT_1445","CNT_1500","CNT_1515","CNT_1530","CNT_1545","CNT_1600","CNT_1615","CNT_1630","CNT_1645","CNT_1700","CNT_1715","CNT_1730","CNT_1745","CNT_1800","CNT_1815","CNT_1830","CNT_1845","CNT_1900","CNT_1915","CNT_1930","CNT_1945","CNT_2000","CNT_2015","CNT_2030","CNT_2045","CNT_TOTAL"
20016,42.3422400003,-71.1213399976,7001,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",56,3,"Street Intersection","B","Harvard St.","SB","Beacon St.","WB",1974-03-05,"Tu",,,0,0,1,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,2,1,2,1,,,,,,,,,23
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Harvard St.","NB","Beacon St.","WB",1974-03-08,"F",,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,2,3,1,1,0,1,2,1,3,1,1,1,2,0,3,2,1,1,0,1,2,0,0,0,5,3,2,1,2,3,,,,,,,52
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Harvard St.","NB","Harvard St.","NB",1974-03-08,"F",,,0,0,0,0,0,1,1,3,2,4,0,1,1,0,0,1,2,2,3,5,2,3,1,4,1,4,3,1,4,3,1,2,5,6,5,7,7,4,8,9,13,15,3,5,4,6,4,5,6,7,,,,,,,174
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Harvard St.","NB","Beacon St.","EB",1974-03-08,"F",,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,3,2,3,1,4,3,5,0,0,0,0,0,0,,,,,,,28
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","EB","Harvard St.","SB",1974-03-08,"F",,,1,3,4,8,4,6,6,9,2,3,2,4,2,3,1,2,1,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,2,0,0,0,0,1,,,,,,,77
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","EB","Beacon St.","EB",1974-03-08,"F",,,3,4,7,9,11,9,12,13,8,9,5,8,3,5,4,6,3,7,4,2,3,4,3,5,1,3,4,5,2,1,2,4,3,1,2,2,3,4,1,1,1,1,2,4,1,3,2,3,2,3,,,,,,,208
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","EB","Harvard St.","NB",1974-03-08,"F",,,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,1,1,0,1,2,1,2,1,0,1,2,0,1,0,2,1,1,0,0,0,,,,,,,32
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","WB","Harvard St.","NB",1974-03-08,"F",,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,11
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","WB","Beacon St.","WB",1974-03-08,"F",,,1,1,0,0,0,1,1,1,2,0,2,4,1,1,0,1,2,4,1,2,1,1,0,1,2,1,2,1,3,4,1,0,3,5,5,6,4,8,4,5,9,10,7,9,12,13,4,6,4,2,,,,,,,158
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Beacon St.","WB","Harvard St.","SB",1974-03-08,"F",,,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,2,1,0,0,1,1,2,0,0,0,1,3,2,1,2,2,3,5,1,0,2,0,2,3,1,0,1,1,3,4,1,3,4,2,,,,,,,61
20016,42.3422400003,-71.1213399976,7002,"Brookline","Coolidge Corner","Coolidge Corner - Harvard Street at Beacon Street","Harvard St.","Beacon St.","","","","","",46,1,"Street Intersection","B","Harvard St.","SB","Beacon St.","EB",1974-03-08,"F",,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,1,1,0,3,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,20
